,0,1,2,3,4
intercept,-1.3664558199312535,0.5402419262936718,0.8622674527537937,0.045033183672704966,-0.08108674278891626
Buildinglat,-0.04162358432694687,-0.00578078932980216,-0.09640480015603461,0.36355149281412474,-0.2197423190013385
hazards_present,-0.27024210584866665,0.1790494790269061,0.16261674331193826,0.2526460543193822,-0.32407017080955786
building_type,0.06930568759342925,0.2701047511150123,0.1819412629068834,-0.2617275399770102,-0.2596241616383155
number_of_stories,-0.9540627857918623,0.42738351863662716,0.4145952477438174,0.5434372204745216,-0.43135320106310676
understory_pct_of_building_footprint,-0.07031672384941054,0.038750898638231286,-0.09541243656779794,0.010643212636884463,0.11633504914209172
year_built,0.24668628249147792,1.5539936913956687,-0.8064082302896016,-0.4296286151342344,-0.5646431284633092
roof_shape,0.15608239864009626,-0.06405563053597724,0.06490526170840999,-0.12922248812127818,-0.02770954169125174
mwfrs,0.2948326972358224,-0.28481621055880785,-0.030129402157222353,-0.02125247332802229,0.04136538880823322
foundation_type,0.12324601891838893,-0.059854713227602836,-0.25002244794052547,0.12400619791885424,0.06262494433088579
wall_structure,-0.11203690987507668,0.21733505370121348,0.052741509816596595,0.40001619376768,-0.5580558474104172
wall_substrate,-0.2089874099031077,-0.05017330074632315,0.04423589123387526,0.13134444137724016,0.08358037803831542
wall_cladding,0.10270061981032134,0.008424094530460158,0.042796372721020236,-0.1504106414126148,-0.0035104456491857196
roof_system,-0.05315213473855797,0.19115983563910466,0.0022776977890542854,-0.42959818463843924,0.28931278594883464
roof_substrate_type,0.6026456586420754,0.04673141498771648,-0.30422976473040275,-0.2869574438542286,-0.05818986504516213
roof_cover,-0.20283646345114922,0.1589799014721452,0.23532236887629684,-0.28439594965375314,0.09293014275646103
Buildinglong,0.5506501052880005,-0.051310311514814855,0.06434502020805125,-0.3328679116725804,-0.23081690230865673
mindist,0.6540714263282835,0.44742870296679543,0.4399854639940466,-0.4837126817230111,-1.057772911566117
