,0,1,2,3,4
intercept,-1.4639822614584999,0.6308406415511815,0.8732151518544163,0.060001025022528166,-0.10007455696963513
Buildinglat,-0.04362661046909166,-0.004196383343580973,-0.08276870407384983,0.15660898401143583,-0.026017286124911113
hazards_present,-0.444602992090158,0.3346995603192887,0.12078786158863164,0.3539590669970323,-0.3648434968147971
building_type,0.3781424458973543,0.27374170099510203,0.05712019579334657,-0.3037384741557655,-0.4052658685300399
number_of_stories,-1.3020605369934923,0.510279478362118,0.5132571300701073,0.5096372875351217,-0.23111335897385066
understory_pct_of_building_footprint,0.10360579593713053,-0.16339998344349535,-0.009471056569625474,0.024134920663244266,0.04513032341274904
year_built,0.5669092923322732,1.3516507644021845,-0.7304311643158793,-0.5309858255321636,-0.6571430668864138
roof_shape,0.034779643989766455,0.04735240644319651,0.06236355143222978,-0.10464829854557771,-0.039847303319614925
mwfrs,0.3534717388609386,-0.20242236153069776,-0.07843426249739475,-0.16005773041604524,0.08744261558319935
foundation_type,0.049777632451102775,-0.1294767144867936,-0.2491588825258746,0.2847111501575289,0.04414681440403718
wall_structure,0.2706614341070324,0.06506417862717619,0.017123167019538473,0.05580524770503642,-0.40865402745878526
wall_substrate,0.07890849595517327,-0.07499549073931884,-0.12464592273161584,-0.07212263108402785,0.19285554859978926
wall_cladding,0.07600593184546614,0.14655374832760767,-0.0653056527051787,-0.07386972153383017,-0.08338430593406507
roof_system,-0.42503937795741165,0.32533078923366954,0.017175826357106638,-0.12242334940103121,0.20495611176766718
roof_substrate_type,0.3329886816545089,0.050043523964404014,-0.14890018664597673,-0.28040242742662536,0.04627040845368999
roof_cover,-0.12692941482068443,0.04065001425577201,0.17354129327868795,-0.2556779911042648,0.16841609839048916
Buildinglong,0.4168346881852142,0.005381811274582591,0.015343187993449865,-0.4720146739445409,0.03445498649129655
mindist,0.5226746376820278,0.4285917554313175,0.4683902500166601,-0.2805104792416002,-1.139146163888402
